,A,B,gates,depth,2-gates,Gates
232,36,77,558,400,110,"Counter({'sx': 241, 'rz': 184, 'cz': 110, 'x': 19, 'measure': 4})"
233,36,81,569,391,106,"Counter({'sx': 249, 'rz': 193, 'cz': 106, 'x': 17, 'measure': 4})"
234,36,82,579,399,108,"Counter({'sx': 252, 'rz': 197, 'cz': 108, 'x': 18, 'measure': 4})"
235,36,83,573,396,106,"Counter({'sx': 249, 'rz': 197, 'cz': 106, 'x': 17, 'measure': 4})"
236,36,84,558,397,110,"Counter({'sx': 241, 'rz': 184, 'cz': 110, 'x': 19, 'measure': 4})"
237,36,85,571,391,106,"Counter({'sx': 249, 'rz': 194, 'cz': 106, 'x': 18, 'measure': 4})"
238,36,93,558,396,108,"Counter({'sx': 242, 'rz': 184, 'cz': 108, 'x': 20, 'measure': 4})"
239,36,98,567,391,106,"Counter({'sx': 247, 'rz': 190, 'cz': 106, 'x': 20, 'measure': 4})"
240,36,99,577,400,108,"Counter({'sx': 252, 'rz': 195, 'cz': 108, 'x': 18, 'measure': 4})"
241,36,104,569,391,106,"Counter({'sx': 249, 'rz': 193, 'cz': 106, 'x': 17, 'measure': 4})"
242,36,106,560,399,110,"Counter({'sx': 241, 'rz': 185, 'cz': 110, 'x': 20, 'measure': 4})"
